Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories
Silicon Power,UD90,x4 PCIe 4.0/NVMe,M.2,250GB-4TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,4800/4200,Mid-Range NVMe
Silicon Power,UD90 2230,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,QLC,176,5000/3200,Mid-Range NVMe
Silicon Power,US70,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Silicon Power,US75,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,232,7000/6500,
Silicon Power,XS70,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7300/6800,High-End NVMe
Solidigm,P41 Plus,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Solidigm,QLC,144,4125/3325,Entry-Level NVMe
Solidigm,P42 Plus,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Solidigm,QLC,192,,
Solidigm,P44 Pro,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Aries,"R8 + M7 + 2xR8, 8x4",Yes,No,Hynix,TLC,176,7000/6500,High-End NVMe
Team,Cardea A440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7000/6900,High-End NVMe
Team,Cardea A440 Lite,x4 PCIe 4.0/NVMe,M.2,,Phison E27T,"Single R5 + CoX, 4-CH, 4-CE/ch",No,Yes,Kioxia,TLC,162,7400/6400,
Team,Cardea A440 Pro,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7400/7000,High-End NVMe
Team,Cardea Ceramic C440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Team,Cardea Z44Q,x4 PCIe 4.0/NVMe,M.2,2TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,5000/4000,Mid-Range NVMe
Team,Cardea Zero,x4 PCIe 4.0/NVMe,M.2,256GB-1TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,4800/4000,Mid-Range NVMe
Team,Cardea Zero Z440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Team,G50,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,,"Quad-core, 8-ch",No,Yes,,,,5000/4800,Mid-Range NVMe
Team,G50 PRO,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,,,,5000/4800,Mid-Range NVMe
Team,G70,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,,"Quad-core, 8-ch",No,Yes,,,,7400/6800,High-End NVMe
Team,G70 PRO,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,,,,7400/6800,High-End NVMe
Team,MP34S,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,,,,,,,,2500/2200,Entry-Level NVMe
Team,MP44,x4 PCIe 4.0/NVMe,M.2,512GB-8TB,Maxio MAP1602,,No,Yes,YMTC,TLC,232,7400/6900,High-End NVMe
Team,MP44L,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,5000/4500,Mid-Range NVMe
Team,MP44S,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,,,,,,,,5000/3500,Mid-Range NVMe
Team,MP44Q,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7400/6500,Mid-Range NVMe
Team,NV5000,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,,,,,,,,5000/3000,
Team,T-Create Classic (NVMe 2),x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Team,T-Create Classic PCIe 4.0 DL,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,,,No,Yes,,TLC,,5000/4500,Mid-Range NVMe
Team,T-Create Classic C43,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,,,,,,,,3500/3200,Entry-Level Nvme
Team,T-Create Classic C45,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,,,,,,,,5000/4500,Mid-Range NVMe
Team,T-Create Classic C47,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,,,,,,,,7400/7000,High-End NVMe
Team,Z440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Team,Z44A5,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Maxio MAP1602,,No,Yes,Hynix,TLC,176,5000/4500,
Team,Z44L,x4 PCIe 4.0/NVMe,M.2,250GB-1TB,Phison E19T,"Single R5 + CoX, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,3500/3000,Entry-Level NVMe
Team,Z44Q,x4 PCIe 4.0/NVMe,M.2,2TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,5000/3700,Mid-Range NVMe
Transcend,MTE310S,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,,,,,,,,5000/3500,
Transcend,SSD 240S,x4 PCIe 4.0/NVMe,M.2,500GB-1TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,Micron,TLC,96,3800/3200,Mid-Range NVMe
Transcend,SSD 245S,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Realtek RTS5772DL,,,,,,,5300/4000,
Transcend,SSD 250S/MTE250S/250H,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,N/A,Kioxia,TLC,112,7500/6700,High-End NVMe
Verbatim,Vi7000G,x4 PCIe 4.0/NVMe,M.2,,,,,,,,,,
VisionTek,DLX4,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,,,,5200/4775,Mid-Range NVMe
VisionTek,DLX4 Pro,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,,,Yes,N/A,,,,7415/6800,High-End NVMe
Acer,FA100,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300/2700,Entry-Level NVMe
Acer,GM3500,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96+,3400/3000,Mid-Range NVMe
ADATA,ATOM 30,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500/2000,Entry-Level NVMe
ADATA,Falcon,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100/1500,Entry-Level NVMe
ADATA,Legend 710,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2400/1800,Entry-Level NVMe
ADATA,Legend 740,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500/2000,Entry-Level NVMe
ADATA,Legend 750,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,,,3500/3000,Mid-Range NVMe
ADATA,S20G,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,,TLC,,2500/1800,Entry-Level NVMe
ADATA,S40G,x4 PCIe 3.0/NVMe,M.2,256GB-4TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500/3000,Mid-Range NVMe
ADATA,Swordfish,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,1800/1200,Entry-Level NVMe
ADATA,SX6000 Lite,x4 PCIe 3.0/NVMe,M.2,128GB-1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,64,1700/1100,Entry-Level NVMe
ADATA,SX6000 Pro/S5,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,64,2100/1500,Entry-Level NVMe
ADATA,SX7000,x4 PCIe 3.0/NVMe,M.2,128GB-512GB,SMI SM2260,"Dual R5, 8x4",Yes,No,,TLC,,1800/850,Entry-Level NVMe
ADATA,SX8100/S7,x4 PCIe 3.0/NVMe,M.2,512GB-4TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500/3000,Mid-Range NVMe
ADATA,SX8200/S11,x4 PCIe 3.0/NVMe,M.2,240GB-960GB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3200/1700,Mid-Range NVMe
ADATA,SX8200 Pro/S11 Pro,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3500/3000,Mid-Range NVMe
ADATA,SX8800,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500/2700,Mid-Range NVMe
Addlink,S68,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,96,2500/2100,Entry-Level NVMe
Addlink,S70,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3000,Mid-Range NVMe
Addlink,X70,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/2500,Mid-Range NVMe
Apacer,AS2280P4U,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,,3500/3000,Mid-Range NVMe
Apacer,AS2280P4U Pro,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,,3500/3000,Mid-Range NVMe
Asgard,AN1/AN2,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000/1600,Entry-Level NVMe
Asgard,AN3,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3300/3000,Mid-Range NVMe
Asgard,AN3+,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Starblaze STAR1000P,"Quad-core, 8-ch, 4-CE/ch",Yes,No,Intel,TLC,64+,3500/3000,Mid-Range NVMe
Asura,Genesis Xtreme,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3500/3000,Mid-Range NVMe
Biostar,M700,x4 PCIe 3.0/NVMe,M.2,256GB-512GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000/1600,Entry-Level NVMe
Colorful,CN600,x4 PCIe 3.0/NVMe,M.2,128GB-512GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000/1600,Entry-Level NVMe
Colorful,CN600 Pro,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,TLC,,3400/3100,Mid-Range NVMe
Corsair,MP400,x4 PCIe 3.0/NVMe,M.2,1TB-8TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,3400/3000,Mid-Range NVMe
Corsair,MP510,x4 PCIe 3.0/NVMe,M.2,240GB-4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3480/3000,Mid-Range NVMe
Crucial,P1,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Micron,QLC,64,2000/1700,Entry-Level NVMe
Crucial,P2,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC/QLC,96,2400/1900,Entry-Level NVMe
Crucial,P3,x4 PCIe 3.0/NVMe,M.2,500GB-4TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,QLC,176,3500/3000,Entry-Level NVMe
Crucial,P5,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Micron DM01B2,"Dual-core R5 + M3, 8-ch",Yes,No,Micron,TLC,96,3400/3000,Mid-Range NVMe
DigiFast,Ace,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3470/3000,Mid-Range NVMe
Drevo,D1 Xtreme,x4 PCIe 3.0/NVMe,M.2,256GB-512GB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3200/3150,Mid-Range NVMe
Foresee,P800,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Marvell 88SS1092,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Longsys,TLC,,3200/1900,Mid-Range NVMe
Galax,HOF,x4 PCIe 3.0/NVMe,M.2 & AIC,512GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3000,Mid-Range NVMe
Gigabyte,Aorus,x4 PCIe 3.0/NVMe,M.2 (512GB) & AIC,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3480/2000,Mid-Range NVMe
Gigabyte,M30,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,,TLC,,3500/3000,Mid-Range NVMe
Gigabyte,NVMe v2,x4 PCIe 3.0/NVMe,M.2,128GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,2500/2100,Entry-Level NVMe
Goodram,PX500,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2050/1650,Entry-Level NVMe
Greenliant,ArmourDrive,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,,,,2500/2100,Entry-Level NVMe
HIKVision,C2000,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3500/3000,Mid-Range NVMe
HP,EX900,x4 PCIe 3.0/NVMe,M.2,120GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2100/1500,Entry-Level NVMe
HP,EX900 Plus,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,,3300/2700,Entry-Level NVMe
HP,EX900 Pro,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,N/A,Micron,TLC,,2095/1965,Entry-Level NVMe
HP,EX920,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3200/1800,Mid-Range NVMe
HP,EX950,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3500/2900,Mid-Range NVMe
Hynix,Gold P31,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Cepheus II,"Dual R5, 4x4",Yes,No,Hynix,TLC,128,3500/3200,Mid-Range NVMe
Inland,Platinum,x4 PCIe 3.0/NVMe,M.2,1TB-8TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,3400/3000,Mid-Range NVMe
Inland,Premium (NVMe),x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3100/2900,Mid-Range NVMe
Inland,Prime,x4 PCIe 3.0/NVMe,M.2,1TB,Phison E15T,"Single-core R5 + CoX, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,176,3300/3000,Mid-Range NVMe
Inland,Pro QLC (NVMe),x4 PCIe 3.0/NVMe,M.2,1TB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,QLC,96,2000/1900,Entry-Level NVMe
Inland,TN325,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,,,,,,,,2400/2100,
Inland,QN322,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Intel,QLC,96,2300/1800,Entry-Level NVMe
Intel,660p,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Intel,QLC,64,1800/1800,Entry-Level NVMe
Intel,665p,x4 PCIe 3.0/NVMe,M.2,1TB-2TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Intel,QLC,96,2000/2000,Entry-Level NVMe
Intel,670p,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2265,"Dual-core R5, 4-ch, 4-CE/ch",Yes,No,Intel,QLC,144,3500/2700,Entry-Level NVMe
Intel,760p,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Intel,TLC,64,3230/1625,Mid-Range NVMe
KingMax,PX3480,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3400,Mid-Range NVMe
Kingston,A2000,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,2200/2000,Entry-Level NVMe
Kingston,KC2000,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,3200/2200,Mid-Range NVMe
Kingston,KC2500,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,3500/2900,Mid-Range NVMe
Kingston,NV1,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,,TLC/QLC,,2100/1700,Entry-Level NVMe
Kingston,Seccos ES,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,,,,,,,,3500/3000,
KingSpec,NX,x4 PCIe 3.0/NVMe,M.2,128GB-1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,TLC,,3400/3100,Entry-Level NVMe
Kioxia,Excercia,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Phison E12C,"Dual R5 + CoX, 4-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,96,1700/1600,Entry-Level NVMe
Kioxia,Exceria Plus,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,96,3400/3200,Mid-Range NVMe
KLEVV,CRAS C700/RGB,x4 PCIe 3.0/NVMe,M.2,120GB-480GB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Hynix,TLC,72,1500/1300,Entry-Level NVMe
KLEVV,CRAS C710,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2100/1650,Entry-Level NVMe
KLEVV,CRAS C720,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,96,3400/3100,Mid-Range NVMe
KLEVV,CRAS C730,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,,,,3700/2800,Mid-Range NVMe
